109,democrat,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
110,democrat,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,1,1
111,republican,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
112,democrat,-1,0,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,0
113,republican,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
114,democrat,1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,0
115,democrat,-1,0,1,-1,0,0,1,1,1,1,0,0,-1,-1,1,1
116,democrat,1,-1,1,-1,-1,-1,1,1,1,-1,1,-1,-1,-1,1,1
117,republican,1,1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,1
118,democrat,-1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1
119,republican,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
120,republican,-1,0,0,1,1,1,-1,-1,-1,1,-1,1,1,1,0,1
121,republican,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
122,republican,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,-1,1,-1,1
123,republican,1,0,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,-1,1
124,democrat,-1,0,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1
125,republican,-1,0,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
126,republican,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
127,democrat,-1,0,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1
128,democrat,-1,0,1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,1,1
129,democrat,0,0,1,-1,-1,-1,1,1,0,-1,0,0,0,0,0,0
130,democrat,1,0,1,-1,0,0,1,1,1,-1,-1,-1,-1,-1,1,0
131,democrat,-1,-1,1,-1,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1
132,republican,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0
133,republican,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
134,republican,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,0
135,republican,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
136,republican,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,1
137,democrat,-1,0,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,1
138,democrat,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1
139,democrat,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1
140,republican,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,1,-1,1
141,republican,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,0,1
142,republican,-1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,-1,1
143,democrat,0,1,-1,-1,-1,-1,1,1,1,1,1,-1,-1,1,1,1
144,democrat,-1,0,-1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,0
145,democrat,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,0,1
146,republican,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1
147,democrat,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,1
148,republican,-1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,-1,1
149,democrat,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,1,1
150,republican,1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1
151,democrat,1,1,0,1,1,1,-1,-1,1,-1,1,0,1,1,-1,-1
152,democrat,-1,1,1,-1,-1,1,-1,1,1,1,1,-1,1,-1,1,1
153,democrat,-1,-1,1,-1,-1,1,1,1,1,1,1,-1,1,1,-1,1
154,republican,-1,1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,-1
155,republican,1,1,-1,1,1,1,-1,0,-1,-1,1,1,1,1,-1,-1
156,republican,1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,-1
157,democrat,-1,1,1,-1,-1,1,-1,1,1,-1,1,-1,0,0,0,0
158,republican,-1,1,-1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,-1
159,democrat,-1,1,1,-1,0,1,1,1,1,1,1,-1,-1,0,-1,0
160,democrat,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1
161,democrat,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1
162,democrat,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1
163,republican,-1,1,-1,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1
164,democrat,1,1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,-1,0
165,democrat,-1,1,1,-1,-1,1,1,1,1,1,1,-1,1,-1,1,0
166,republican,1,-1,1,1,1,1,1,1,-1,1,-1,1,-1,1,1,1
167,republican,1,-1,1,1,1,1,1,1,-1,1,1,1,-1,1,1,1
168,democrat,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,1,1,1,0
169,democrat,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,1
